episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-0.0253,211.892751,154,33,30,26,25,40,782.32
2,64.1896,35.720864,415,85,104,69,73,84,516.57
3,11.7458,11.767361,216,34,33,52,53,44,588.56
4,-76.1508,2.867217,154,33,24,28,36,33,212.43
5,256.3519,3.257489,1110,218,219,224,204,245,454.7
6,-87.6552,1.554121,93,11,16,29,24,13,550.33
7,-32.323,2.010155,597,116,108,141,133,99,196.2
8,-31.9353,2.626949,976,191,202,186,198,199,288.69
9,-92.2213,4.194948,295,57,66,59,60,53,607.36
10,-53.5349,3.009736,207,46,48,43,39,31,417.31
11,178.7553,2.465214,710,137,132,140,148,153,430.4
12,201.1379,2.749502,1067,215,220,206,209,217,537.79
13,-26.3364,1.449952,709,123,156,145,133,152,230.06
14,12.0004,1.64978,389,76,76,75,73,89,562.47
15,214.5371,1.758655,1664,347,296,316,349,356,365.39
16,127.5188,2.784283,814,161,167,150,159,177,477.62
17,-34.413,1.129202,78,16,19,10,16,17,461.1
18,7.4044,2.411033,1155,207,264,226,245,213,214.77
19,-45.397,2.500191,343,65,63,77,78,60,491.47
20,-72.254,3.088683,97,18,17,24,24,14,310.3
21,-64.736,2.449337,173,32,41,35,30,35,102.58
22,423.0438,1.757167,3114,591,627,665,602,629,296.11
23,-11.0108,0.714568,136,26,23,24,32,31,508.8
24,-44.646,0.8494,108,18,25,18,21,26,854.53
25,68.2793,1.588445,1016,194,205,223,183,211,534.85
26,51.8709,1.759007,409,79,81,83,80,86,394.72
27,122.1744,1.175294,881,176,164,184,178,179,226.5
28,81.5834,2.070937,530,104,96,113,94,123,263.64
29,-52.687,2.454849,62,7,15,15,13,12,705.94
30,178.6432,1.119878,942,184,169,218,160,211,377.43
31,-14.3203,1.982003,863,161,175,172,176,179,584.79
32,-18.4998,1.937153,196,36,35,46,42,37,412.34
33,-19.4585,1.633933,7,3,0,1,2,1,675.89
34,164.2425,1.558296,959,208,185,183,182,201,515.51
35,42.474,1.314932,466,83,106,100,94,83,544.71
36,249.6287,1.145313,1034,200,199,259,175,201,542.02
37,18.4791,1.170526,317,72,50,66,63,66,344.85
38,82.4375,1.540171,736,159,134,153,145,145,491.43
39,322.3318,0.884089,1632,302,308,328,345,349,301.32
40,251.4339,1.505984,824,164,160,186,142,172,332.3
41,138.3797,0.605861,829,144,148,209,151,177,442.87
42,-24.0667,0.955964,130,25,27,30,24,24,176.12
43,22.6758,0.823366,277,53,51,64,51,58,629.61
44,2.8669,0.584253,1120,214,233,242,230,201,380.64
45,-93.9224,0.599127,150,18,31,35,33,33,89.46
46,12.0648,0.943438,367,70,81,69,68,79,467.11
47,-10.0,0.902599,1,0,0,1,0,0,29.15
48,136.258,0.563299,1182,246,216,285,231,204,442.15
49,64.1989,0.990531,1028,211,191,216,212,198,449.1
50,54.1854,7.955445,340,87,66,60,57,70,649.0
51,229.1054,1.21265,2056,372,402,465,374,443,345.79
52,-35.9801,0.765059,28,1,5,6,10,6,642.5
53,81.5307,0.397228,586,109,119,141,108,109,436.07
54,110.5652,1.142329,612,123,125,139,118,107,563.0
55,-10.99,1.707495,2,1,0,0,1,0,499.08
56,-32.1219,0.990621,782,152,157,171,153,149,198.15
57,82.7212,1.195051,997,205,189,222,188,193,278.41
58,-57.4354,1.084545,262,57,61,50,51,43,370.82
59,-23.9183,0.491356,352,66,83,72,61,70,582.45
60,49.874,0.726797,1327,257,247,288,254,281,566.86
61,130.0632,0.852474,657,112,134,152,121,138,419.47
62,199.4224,0.724854,1091,210,189,240,211,241,421.68
63,364.8294,1.336707,1664,337,325,355,319,328,254.8
64,323.8413,0.464413,1982,364,390,458,361,409,368.3
65,-85.3372,0.637412,171,37,30,28,34,42,626.77
66,-58.7011,0.531605,219,50,49,51,32,37,738.29
67,-17.1837,1.014801,7,1,3,3,0,0,707.23
68,24.3301,0.449254,200,40,35,44,39,42,637.35
69,-71.3678,1.6975,523,102,121,90,105,105,160.21
70,26.1759,1.213185,295,65,61,51,52,66,555.17
71,268.2059,0.683468,1963,372,426,421,353,391,382.61
72,-6.1437,0.480898,1087,220,207,258,194,208,547.57
73,167.1045,0.497999,1819,332,362,477,302,346,406.57
74,7.2142,1.244987,146,27,24,34,25,36,694.74
75,118.9466,0.985168,486,86,86,117,98,99,461.25
76,268.1632,0.585918,1313,242,271,287,241,272,436.12
77,-15.6632,0.655976,82,22,12,25,10,13,601.09
78,-36.7378,0.790501,244,39,50,69,41,45,539.56
79,145.5695,0.382712,655,128,122,149,130,126,382.91
80,61.2705,0.803163,398,89,78,89,67,75,681.33
81,-11.3733,1.096474,11,2,0,5,1,3,55.18
82,196.7112,1.173109,1882,358,373,415,406,330,313.65
83,3.5151,1.127261,826,188,161,158,150,169,523.54
84,284.1119,1.087037,1735,366,336,382,301,350,351.3
85,267.1926,0.878312,1791,387,335,405,310,354,343.3
86,308.632,0.850771,2558,453,529,610,481,485,417.79
87,84.2042,0.513291,408,70,87,106,71,74,492.45
88,-1.2027,1.573086,890,170,171,236,155,158,648.39
89,-14.1342,0.913116,63,11,15,17,7,13,63.62
90,3.3963,1.230651,720,148,144,159,138,131,190.25
91,351.7434,1.269829,1621,333,290,362,296,340,343.67
92,0.5327,1.057086,1480,276,282,362,262,298,256.09
93,163.3756,1.722059,1129,201,261,243,199,225,506.12
94,-27.0575,0.482631,300,71,61,59,63,46,501.19
95,-50.2301,0.721074,251,54,57,51,42,47,673.0
96,75.2681,1.018987,454,85,88,116,79,86,470.98
97,158.8459,0.467692,1607,307,311,399,283,307,315.99
98,260.1246,0.699339,1886,377,347,456,359,347,463.5
99,-39.1464,0.471779,25,9,4,1,6,5,642.79
100,99.6741,1.153805,1042,190,176,274,179,223,583.47
101,-33.9525,2.081944,90,15,11,22,25,17,82.38
102,-60.7054,0.716216,584,106,118,170,96,94,588.0
103,-55.7379,0.84733,69,11,13,17,9,19,629.09
104,210.3446,0.530355,1273,259,248,319,238,209,357.59
105,77.111,0.945251,2704,510,502,742,490,460,293.21
106,-96.595,0.830817,85,14,24,20,12,15,390.12
107,152.2527,0.912709,922,156,184,247,153,182,410.17
