episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
1,-12.2477,98.753623,3,1,0,0,1,1,903.37
2,-5.3336,8.243986,1090,191,213,214,235,237,317.84
3,-18.9138,4.515894,11,4,1,3,1,2,703.5
4,55.7004,7.027884,467,82,100,96,88,101,775.89
5,54.0707,6.410945,933,181,189,188,180,195,306.89
6,-17.3013,4.688638,404,84,85,79,79,77,147.34
7,-20.7507,5.025502,953,199,194,171,166,223,193.05
8,48.1609,4.281843,453,82,90,87,90,104,380.75
9,116.8309,3.447537,597,125,118,113,117,124,410.69
10,52.226,2.973454,459,77,78,106,95,103,522.46
11,-34.757,2.463394,254,55,59,37,53,50,322.27
12,234.5578,1.926081,1646,325,329,327,339,326,219.91
13,-12.2973,2.180801,1033,185,207,211,191,239,206.91
14,-47.2296,2.367294,411,78,85,79,72,97,199.21
15,-22.7518,1.951768,456,94,84,89,90,99,394.44
16,55.2437,1.709881,355,73,59,76,68,79,240.76
17,-20.5213,1.793931,11,3,3,3,0,2,955.23
18,72.0649,2.311845,327,56,64,74,50,83,227.28
19,-48.4646,1.804374,642,125,123,121,137,136,247.22
20,-83.6018,2.079293,260,39,47,69,50,55,130.98
21,106.4764,1.601792,1280,263,294,260,238,225,383.38
22,-24.7257,2.144344,78,15,22,10,13,18,288.06
23,42.5868,2.797179,377,87,76,74,77,63,595.32
24,-176.3279,2.112941,193,35,36,38,47,37,533.01
25,33.7454,1.823729,335,78,53,68,63,73,323.17
26,-46.8581,2.397228,255,49,57,41,57,51,110.32
27,132.5007,1.973038,683,131,144,140,134,134,225.56
28,235.0052,2.213567,1486,261,304,297,305,319,291.43
29,227.3486,1.411214,1706,348,324,321,362,351,252.18
30,13.0139,1.434806,258,54,38,62,47,57,190.47
31,-20.0703,1.103915,186,35,34,40,36,41,197.01
32,291.7005,1.796724,1463,298,293,284,308,280,316.52
33,-94.6528,1.488934,613,139,108,124,116,126,167.67
34,-36.4024,1.633441,72,13,20,11,15,13,80.89
35,-86.543,2.470131,103,22,20,24,20,17,728.43
36,-44.2684,1.396558,542,113,107,105,123,94,736.28
37,97.3354,2.153597,926,179,191,183,181,192,223.89
38,-62.803,2.349158,55,11,12,12,14,6,698.94
39,-30.098,1.084392,407,79,72,89,85,82,169.75
40,40.9589,1.404868,1447,284,292,297,278,296,281.53
41,-51.5206,1.335827,204,32,49,47,33,43,82.04
42,-26.3871,1.502907,13,4,1,3,3,2,698.93
43,-35.7568,1.185173,66,11,8,15,14,18,529.25
44,43.951,2.051085,397,79,82,68,94,74,190.79
45,122.7227,1.869288,1555,281,323,336,305,310,264.03
46,-25.3671,1.65974,352,78,68,73,67,66,171.33
47,-52.5347,1.814711,1083,239,235,214,200,195,296.27
48,31.168,1.700007,689,137,145,144,111,152,227.59
49,340.2347,1.453083,2487,522,498,483,504,480,366.57
50,172.8313,1.907532,1878,365,382,348,410,373,165.39
51,51.1637,1.575054,1269,254,271,251,237,256,245.09
52,144.6697,1.556569,713,131,131,150,149,152,246.26
53,18.6274,2.084619,230,37,45,50,50,48,710.36
54,32.6523,1.503258,1083,226,193,237,198,229,321.16
55,-11.7962,2.128144,155,36,23,39,27,30,140.71
56,-5.1666,1.432364,857,191,161,182,149,174,319.37
57,51.9523,1.724295,473,107,95,86,101,84,127.31
58,-31.1605,1.765623,123,22,25,28,26,22,692.31
59,-25.0695,1.178075,273,40,63,52,63,55,424.11
60,105.6014,1.855917,1069,227,223,200,216,203,184.39
61,-10.0,4.38962,1,0,0,0,1,0,31.4
62,142.1711,2.940645,1575,329,299,304,349,294,307.09
63,196.8528,3.008123,1141,217,215,290,198,221,324.56
64,-119.7143,2.045925,368,79,67,88,63,71,91.11
65,-25.2476,1.754642,34,8,8,6,4,8,676.79
66,-38.814,1.478902,331,57,65,80,65,64,186.04
67,-36.961,1.935912,124,34,21,22,28,19,319.74
68,54.6897,1.939473,618,109,130,111,166,102,558.37
69,-8.5624,1.524144,709,163,128,143,132,143,214.99
70,-6.4949,1.303379,419,93,72,87,94,73,161.09
71,371.5479,1.330033,1475,292,291,294,294,304,324.68
72,25.6416,1.29075,405,87,79,86,86,67,131.18
73,127.6446,0.923747,594,132,116,110,136,100,376.58
74,28.4289,1.906459,435,91,84,91,86,83,398.52
75,-57.87,1.441178,58,14,10,12,16,6,562.4
76,-55.8841,1.968284,373,67,77,65,77,87,329.69
77,114.2666,1.734733,510,98,87,117,99,109,462.13
78,59.173,1.768359,562,105,111,109,114,123,447.91
79,-36.8772,1.937259,135,20,36,23,28,28,333.69
80,57.8851,1.455271,503,102,110,104,87,100,166.72
81,110.9977,5.078436,1134,239,216,289,164,226,258.63
82,73.8596,2.398422,1278,261,228,269,263,257,386.48
83,85.8693,1.904286,521,106,115,104,98,98,589.26
84,43.1891,0.900562,890,172,176,212,179,151,541.75
85,-5.1227,1.931566,163,25,37,28,26,47,398.99
86,142.0616,1.444588,582,111,122,124,111,114,214.4
87,60.4999,1.585309,1105,214,248,220,211,212,188.32
88,-19.6493,2.023658,47,13,7,6,12,9,777.31
89,212.8703,2.070809,1488,331,308,331,260,258,260.1
90,10.7802,1.634123,500,103,72,132,96,97,500.77
91,125.3324,2.343255,964,201,183,220,164,196,365.26
92,215.9851,2.032472,1240,248,255,229,273,235,436.33
93,-68.7452,1.891542,206,45,49,42,44,26,673.06
94,-32.1581,1.206569,88,15,20,24,15,14,71.03
95,-23.0481,1.636288,518,125,98,118,91,86,358.88
96,141.9919,1.642871,2300,460,550,430,436,424,229.29
97,8.1221,1.544831,125,35,15,35,18,22,230.9
98,-59.0084,1.891078,137,28,32,34,14,29,351.54
99,137.7834,1.416389,1445,274,317,328,281,245,328.57
100,169.4461,1.81188,1562,281,296,293,351,341,180.26
101,144.8091,2.060033,761,144,138,155,163,161,395.78
102,150.4707,2.053745,1885,369,392,351,426,347,311.61
103,6.8512,1.712445,441,92,80,110,78,81,129.41
104,466.2722,2.216904,3387,675,679,744,674,615,260.92
105,83.6555,4.810355,1517,296,291,327,315,288,397.63
106,217.199,1.599386,1772,336,367,385,344,340,280.01
107,226.9962,1.84542,1738,366,357,308,376,331,177.1
108,5.3046,1.947357,1030,198,216,221,184,211,231.29
109,-103.4594,1.576221,179,44,32,36,31,36,351.42
110,599.8458,1.604425,3146,625,662,569,678,612,276.0
111,-148.7773,2.195782,862,165,189,173,182,153,529.87
112,670.2077,1.630519,4493,878,879,955,930,851,204.62
113,202.1518,1.827154,1429,316,270,257,341,245,196.18
114,98.1519,1.297668,1464,293,279,244,380,268,413.93
115,-42.5835,1.735863,461,97,97,107,92,68,469.41
116,-36.8487,1.495365,317,61,89,57,64,46,132.72
117,326.0292,1.178505,2095,408,360,424,503,400,259.76
118,-41.9715,1.844509,92,24,17,15,18,18,352.17
119,344.6416,1.965223,2962,605,607,606,598,546,243.09
120,56.8074,1.093417,468,83,71,121,102,91,340.91
121,-34.8628,1.054118,441,83,82,82,110,84,231.7
122,25.5535,1.681042,1045,204,243,210,193,195,314.02
123,66.0359,1.842862,1388,256,303,271,268,290,162.66
124,-42.055,4.13373,201,45,39,42,29,46,157.7
125,-42.9174,2.232915,73,18,16,13,13,13,305.65
126,212.124,1.331278,2017,401,421,478,355,362,461.48
127,-81.8514,1.56832,2160,413,459,431,474,383,371.0
128,-8.7889,1.542974,196,36,53,38,36,33,745.64
129,808.9107,1.440785,5125,991,1062,990,1160,922,274.64
130,-5.9774,1.677315,550,108,123,82,124,113,219.2
131,11.1335,1.545791,787,150,159,144,187,147,297.57
132,138.9428,2.034786,1501,338,284,276,345,258,241.42
133,259.7558,1.60456,2274,451,479,430,443,471,201.33
134,92.6561,1.882066,1358,263,311,242,311,231,305.98
135,325.2345,1.282186,1874,361,349,328,435,401,402.25
136,235.9657,1.551756,1987,366,405,399,369,448,228.4
137,298.7318,1.666804,2636,522,558,616,455,485,345.3
138,-49.8583,2.849305,107,23,22,17,30,15,690.49
139,28.8763,1.293786,1235,276,233,297,211,218,244.26
140,330.8393,2.3125,1937,375,397,387,413,365,272.2
141,52.0779,1.567048,387,65,73,72,68,109,358.53
142,123.3167,2.053677,984,186,188,292,163,155,415.63
143,108.7932,1.701097,735,141,137,196,123,138,244.34
144,57.1344,1.634049,643,107,118,135,127,156,218.93
145,153.8429,1.955727,1004,209,198,217,176,204,326.49
146,124.7363,1.328115,664,139,125,121,137,142,151.52
147,-10.0,2.255809,1,0,0,0,1,0,43.57
148,0.8559,1.04461,400,88,81,81,77,73,477.21
149,230.0984,0.814761,1629,324,277,359,315,354,268.4
150,-65.7256,2.245524,41,8,9,4,14,6,584.76
151,210.074,2.446067,1930,354,354,337,495,390,321.35
152,-18.1247,2.253325,327,62,51,114,52,48,235.56
153,-12.0401,2.419108,3,0,0,0,0,3,679.68
154,430.506,1.215402,2813,549,516,565,676,507,277.6
155,474.0091,3.417447,2795,572,527,688,482,526,342.81
156,211.044,1.25381,1477,268,289,248,378,294,393.57
157,28.7476,2.747611,662,121,120,195,112,114,204.12
158,188.5683,1.723075,1620,307,302,301,374,336,258.72
159,104.8809,1.759285,1327,263,252,377,211,224,373.31
160,-10.0,1.516783,1,1,0,0,0,0,20.25
161,-131.0754,2.073615,299,57,56,51,87,48,525.29
162,149.2296,1.471871,1538,299,266,427,265,281,223.39
163,189.6023,3.314631,1524,289,285,426,258,266,402.12
164,165.5348,2.570382,1251,227,267,218,287,252,239.6
165,96.0948,2.627038,491,97,99,156,74,65,168.46
166,102.4215,2.743631,1932,374,353,581,301,323,268.83
167,115.0464,2.939511,495,87,93,153,89,73,559.73
168,229.9136,1.89239,2202,465,427,396,527,387,264.89
169,-111.7301,1.1716,495,84,126,99,105,81,188.93
170,425.4495,2.968555,2596,483,466,751,425,471,337.18
171,165.93,2.869711,4554,832,930,983,931,878,298.91
172,195.6115,1.162322,1107,246,188,196,222,255,217.17
173,138.9414,2.445784,873,162,167,153,224,167,403.05
174,93.0509,3.546437,410,84,83,83,66,94,388.43
175,-43.6107,2.065649,38,1,14,6,7,10,334.52
176,-44.6144,3.681873,392,62,70,119,80,61,103.19
177,-44.3964,2.163279,37,5,10,10,6,6,154.17
178,3.3635,1.771749,1468,276,295,316,306,275,235.49
179,70.6114,10.331807,492,104,97,84,102,105,347.57
180,-10.1077,2.691731,6,1,3,1,0,1,51.31
181,86.0271,1.273941,1358,285,248,221,393,211,392.37
182,-116.8875,3.557805,663,122,127,198,103,113,328.64
183,-20.6999,2.799775,923,156,161,288,152,166,345.32
184,65.6405,3.797027,255,41,33,86,30,65,182.15
185,-63.5085,3.4795,58,17,10,12,8,11,604.64
186,-14.6546,2.532863,5,0,3,2,0,0,436.48
187,33.919,2.889018,775,152,144,240,127,112,460.07
188,-51.3594,4.801706,594,99,100,192,101,102,627.36
189,44.5739,3.180398,964,233,178,225,169,159,433.38
190,147.1629,1.10932,1734,325,304,514,306,285,415.48
191,140.9788,1.203822,1901,370,398,458,349,326,357.97
192,0.5822,4.443844,409,90,76,106,61,76,636.2
193,-38.0097,4.071563,45,3,5,9,20,8,576.06
194,4.9335,1.861724,478,93,107,88,85,105,414.93
195,69.245,5.538707,486,100,101,123,74,88,519.69
196,-87.4548,3.618163,329,67,80,88,54,40,447.86
197,-22.5979,3.634367,95,24,10,16,14,31,567.56
198,-37.5922,2.894151,163,20,35,48,29,31,94.75
199,-17.0697,3.338272,2282,481,431,410,536,424,214.04
200,-320.7688,5.893097,1077,194,199,294,200,190,569.55
201,151.0521,3.867845,1036,174,187,160,310,205,380.67
202,22.9441,5.540786,320,52,80,60,84,44,436.09
203,-18.5433,5.359107,483,95,69,150,87,82,234.73
204,242.5544,2.530135,1423,224,229,474,257,239,317.3
205,79.3298,3.46696,857,140,157,143,294,123,352.98
206,-2.3817,5.103634,417,82,81,67,104,83,132.33
207,105.732,4.56712,949,200,154,280,146,169,626.07
208,299.6863,3.171396,2527,463,492,755,386,431,414.86
209,87.3964,4.446929,530,88,104,152,89,97,505.99
210,52.9553,4.547802,1441,262,254,245,459,221,465.98
211,60.7391,8.671093,1726,318,321,531,286,270,420.71
212,300.9306,4.227315,2285,465,439,662,364,355,187.99
213,373.5186,5.012194,2348,413,440,697,399,399,236.16
214,180.0998,5.777717,1809,323,392,304,452,338,200.98
215,63.8556,4.526093,682,97,142,214,114,115,206.41
216,-30.4117,4.577205,648,120,132,192,99,105,361.29
217,32.0834,4.335567,511,79,91,88,151,102,148.06
218,-34.9724,4.500248,324,49,68,96,55,56,335.68
219,161.3638,5.844197,1363,254,253,176,450,230,249.2
220,-115.1473,5.782866,1009,174,157,358,149,171,318.45
221,271.3487,6.979142,1564,279,242,529,261,253,339.45
222,146.2955,11.974661,1807,329,318,590,254,316,194.52
223,214.1167,3.302562,1268,213,231,197,394,233,400.9
224,85.9735,2.605835,720,129,128,232,113,118,441.36
225,52.5844,3.189749,637,103,120,189,100,125,343.16
226,24.0822,6.803222,656,135,107,119,204,91,514.03
227,-46.2412,6.525624,840,136,190,177,180,157,225.62
228,-14.106,7.890291,4,1,1,0,1,1,148.88
229,17.2777,6.854695,1115,237,217,306,167,188,593.55
230,-36.5463,6.61551,111,17,16,38,20,20,83.51
231,16.1737,10.201624,369,61,93,51,92,72,566.45
232,19.3925,5.007766,1353,284,250,373,248,198,499.5
233,-15.2908,5.031514,599,132,95,96,172,104,416.5
234,-30.7097,6.050155,95,22,19,23,20,11,70.26
235,178.129,6.769666,1553,302,281,248,491,231,170.17
236,-39.1026,2.949357,316,72,49,91,50,54,578.69
237,104.2733,6.064415,712,113,132,126,258,83,452.56
238,9.5341,5.711199,531,94,101,173,83,80,655.95
239,-13.8227,1.096654,366,85,65,77,61,78,346.9
240,-60.9162,5.748436,341,79,48,46,110,58,433.72
241,-104.2345,9.474565,467,111,85,94,90,87,130.51
242,-315.6346,6.777387,1206,259,217,354,176,200,342.45
243,-5.6091,5.519996,1123,227,221,339,162,174,568.54
244,-103.4178,6.519073,301,86,44,86,45,40,80.84
245,190.026,4.429729,1687,295,339,436,264,353,348.49
246,-68.2609,7.617663,1360,280,294,358,210,218,566.66
247,-48.0396,7.564536,176,33,30,29,58,26,582.25
248,-135.29,7.276847,420,114,62,121,68,55,406.17
249,-40.6373,1.071143,177,35,28,31,55,28,724.56
250,-0.1009,16.811954,210,35,57,48,45,25,372.33
251,-6.1646,7.243126,394,68,76,123,61,66,606.12
252,35.5627,6.172772,766,127,152,208,142,137,256.19
253,99.5556,1.076402,501,77,103,79,173,69,299.12
254,68.1312,10.210057,1066,201,181,363,149,172,226.37
