config_name,school_size,ray_count,seed,final_score,final_loss,mean_survival,action_entropy,mean_shark_dist
S1R4,1,4,42,323.33,0.9073,3286.0,2.319,314.07
S1R4,1,4,44,185.3,0.8993,2533.1,2.322,299.96
S1R8,1,8,42,455.13,0.902,3766.0,2.32,325.82
S1R8,1,8,44,255.4,0.9363,2981.3,2.321,286.71
S2R4,2,4,42,38.78,296.1612,1110.4,2.284,379.63
S2R4,2,4,44,21.51,172.1615,1002.6,2.269,360.65
S2R8,2,8,42,59.06,76.981,947.8,2.276,346.01
S2R8,2,8,44,94.57,322.4726,831.5,2.236,395.49
S4R4,4,4,42,378.26,1.9483,7535.0,2.317,338.23
S4R8,4,8,42,282.96,12.07,3269.7,2.305,326.04
